,video_id,prev_job,curr_job,quitting_reasons
32,0N-4eS-mmUw,"

The former job of the person who posted the video was working at a gym for minimum wage.","

The current job of the person who posted the video is working at a gym for minimum wage.","

1. Low wages 
2. Not enough career growth opportunities 
3. Desire to pursue full-time content creation"
33,maybHK2xX6g,"

The former job of the person who posted the video is building a career.","

The current job of the person who posted the video is daily vlogging.","

Reasons for Leaving Previous Job: 
1. Not Truly Happy 
2. Wanted to Escape 
3. Wanted to Live a More Fulfilling Life"
34,r3GSbMNj9oM,"

The former job of the person who posted the video appears to be music marketing.","

The person who posted the video is currently a music marketing consultant, helping other artists with marketing and providing tips on how to market music.","

1. Lack of knowledge of music marketing
2. Difficulty in writing songs, making beats, and engineering
3. Desire to help an endless amount of artists with marketing principles"
35,pIr0VURabcQ,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is not specified.","

1. Job was not a calling that allowed the video poster to pursue important work that mattered to them and others.
2. Job was an obstacle that prevented the video poster from living the life they wanted.
3. Job did not provide the opportunity to become an entrepreneur or start a business or startup."
36,iHlLb04oOA4,"

The former job of the person who posted the video was a trackside performance engineer at Red Bull Racing in Formula One.","

The current job of the person who posted the video is a full-time content creator and streamer.","

List: 
1. Realized passion for content creation and streaming
2. Wanted to share insights into the world of Formula One
3. Had been in Formula One for 10 years"
37,xib_NspgQUI,"

The former job of the person who posted the video is not mentioned in the transcript.","

The current job of the person who posted the video is providing advice on marriage and relationships.","

Reasons for Leaving Previous Job:
1. Marriage is not designed to thrive in long distance.
2. Separation is not a long-term strategy for any marriage.
3. Long distance exposes individuals to sexual temptation."
38,wqxHXke7aSs,"

The former job of the person who posted the video was working in an office.","

The current job of the person who posted the video is that they are putting in their two weeks notice.","

Reasons for Leaving Job:
1. Taking offense to boss's criticism
2. Responding to boss with criticism
3. Defending oneself against district manager reprimand"
39,PfhA53oqJZs,"

The person who posted the video did not have a former job mentioned in the transcript.","

The person who posted the video does not appear to have a current job.","

1. Women can't lead
2. Women can't win
3. There is something more dangerous in this world than a humiliated man"
40,csIKuWwB2iU,"

The former job of the person who posted the video is foreign.","

The current job of the person who posted the video is quitting their job and starting a new life in Guanajuato, Mexico.","

List: 
1. Foreign 
2. Annoying 
3. Had to do it for myself"
41,eaqzHJKp8Jw,"

The former job of the person who posted the video was going to quit their job.","

The person who posted the video is currently going to quit their job.","

1. Unpleasant working environment due to staff conflicts
2. Desire to explore and do something different
3. Need to spend more time with family"
42,B2bb7XXKpdQ,"

It is not possible to determine the former job of the person who posted the video based on the transcript provided.","

The person who posted the video does not appear to have a current job.","

1. Unfulfilling work environment
2. Lack of autonomy
3. Unmotivating management"
43,gH0gduW1j5Q,"

The former job of the person who posted the video is unclear from the transcript.","

The person who posted the video does not appear to have a current job.","

1. Unfulfilling job
2. Lack of autonomy
3. Uninspiring work environment"
44,WDc92vuD_Fk,"

It is not possible to answer this question without more information.","

The current job of the person who posted the video is trying to quit their job.","

1. Trying to quit job first thing in the new year
2. Every HR contact is on vacation
3. How to quit job again"
45,yDobmg8QaTs,"

The former job of the person who posted the video appears to be working in an office with other people.","

The current job of the person who posted the video is that they are self-employed and making their first documentary.","

Reasons why the video poster left their previous job:
1. Opportunity to make a documentary
2. Redefining success and finding what matters in life
3. Sponsored by a mountain biking brand to create a project"
46,Jybaqy-Mcx8,"

The former job of the person who posted the video is not explicitly stated in the transcript.","

The current job of the person who posted the video is self-employed filmmaker.","

List of Reasons for Leaving Job:
1. Opportunity to pursue a passion project
2. Desire to redefine success and find what matters in life
3. Bitter-sweet experience of leaving friends at the job"
47,7GhuIiRU_zw,"

The former job of the person who posted the video is not specified in the transcript.","

The person who posted the video is a musician.","

1. Unsatisfactory working conditions 
2. Unfulfilling job responsibilities 
3. Low pay"
48,3L-uVupubvg,"

The former job of the person who posted the video was working at McDonald's.","

The current job of the person who posted the video is working at McDonald's.","

1. Tedious and tiring work environment
2. Needed to pursue passions
3. Year long commitment"
49,_LNqzGdap-g,"

The former job of the person who posted the video was working in a corporate job.","

The person who posted the video is quitting their current job to pursue a new life.","

List of Reasons for Leaving Previous Job:
1. Wanted to do something different
2. Did not have the qualifications to work in Korea
3. Wanted to pursue a new adventure"
50,LsXdsPRXV7A,"

It is not possible to determine the former job of the person who posted the video based on this transcript.","

The person who posted the video does not appear to have a current job. They are discussing the possibility of an upcoming adventure and expressing excitement about not knowing what the future holds.","

1. Foreign travel opportunities
2. Exciting new adventures
3. Not knowing what tomorrow will bring"
51,tDe9rC0edUo,"

The former job of the person who posted the video was as an engineer and I.T professional.","

The current job of the person who posted the video is a Serial Entrepreneur.","

Reasons to Leave Job:
1. Lack of immigration papers
2. Not a typical 9-5 job material
3. Wanted to pursue entrepreneurial ventures"
52,oyEi4oEbtiQ,"

The former job of the person who posted the video is a Certified Nursing Assistant (CNA).","

The current job of the person who posted the video is a CNA (Certified Nursing Assistant) at United Healthcare.","

List: 
1. Overworked 
2. Unsafe Conditions 
3. Lack of Appreciation from Management"
53,BDcccg1i1uM,"

The former job of the person who posted the video was working in restaurants, manual labor jobs, and other jobs to pay for tuition and other expenses.","

The current job of the person who posted the video is working two jobs to save up money for a flight to Vietnam.","

List: 
1. Needed money to pay for tuition and flight to Vietnam 
2. Wanted to visit home and see relatives 
3. Wanted to pursue YouTube as a career"
54,fbFdmkTe3q0,"

It is not possible to determine the former job of the person who posted the video from the transcript provided.","

The person who posted the video is currently in the process of resigning.","

1. Unfulfilled career goals
2. Unsatisfactory working environment
3. Lack of job satisfaction"
55,nCFd8yGuZDo,"

The former job of the person who posted the video is working for a billionaire.","

The current job of the person who posted the video is that they have quit their job working for a billionaire.","

1. Need to get filthy rich to change the world
2. Having money doesn't guarantee impact
3. Invest money into assets to earn money while sleeping"
56,W55vBMswuNA,"

The former job of the person who posted the video was not specified in the transcript.","

The current job of the person who posted the video is quitting their job.","

List of Reasons for Leaving Previous Job:
1. Unbearable Stress and Anxiety
2. Lack of Control Over Own Life
3. Desire to Pursue Other Opportunities"
57,3a5vwuDBpaw,"

The person who posted the video does not appear to have a former job.","

The person who posted the video does not appear to have a current job.","

1. Unsustainable workload
2. Unsatisfactory pay
3. Poor working conditions"
58,mv6TZS_NHFg,"

The former job of the person who posted the video is not specified in the transcript.","

The person who posted the video currently has a job taking care of themselves.","

List:
1. Lack of job
2. Financial support
3. Emotional support"
59,hrLTyxdeCa8,"

The former job of the person who posted the video was a Lion Keeper at a local Zoo.","

The current job of the person who posted the video is not specified.","

1. Unpleasant working conditions
2. Difficulty dealing with lion poop
3. Unsupportive colleagues"
60,aOr1wk5zjDA,"

The former job of the person who posted the video is not mentioned in the transcript.","

The current job of the person who posted the video is being a YouTuber.","

List: 
1. To focus more on school and work out at the gym.
2. To focus on hobbies and have more time for myself.
3. To surround myself with good people and find peace and happiness."
61,j3XliWCd2QU,"

The former job of the person who posted the video is foreign, with a lot of time spent in corporate environments and leading large groups and managing finances.","

The person who posted the video is currently working towards becoming competent in the things they want to do and is helping others to join the free cash flow dealmaker Facebook Club.","

List: 
1. Taking control of own future
2. Setting clear goals and committing to them
3. Joining the free cash flow dealmaker Facebook Club"
62,PEAh7CCHVRs,"

The former job of the person who posted the video appears to be working on a fryer.","

The current job of the person who posted the video appears to be working in a kitchen or restaurant, as they mention being on a fryer all day and needing to take a lunch.","

1. Lack of respect for lunch break 
2. No access to water 
3. Unsatisfactory working conditions"
63,F84c6oCshRE,"

The former job of the person who posted the video is not specified, but it is implied that they recently resigned from a job that they had for the last two to three years.","

The current job of the person who posted the video is unemployed.","

Reasons why the video poster left their previous job: 
1. The job was no longer suitable for them. 
2. They wanted to pursue new passions and projects.
3. They wanted to move on to a new chapter in their life."
64,nFqH_Gh2Dv4,"

The former job of the person who posted the video was working for their old company for over nine years.","

The current job of the person who posted the video is working in finance.","

Reasons for Leaving Previous Job:
1. No bonus for staying.
2. Old company had a big carbon footprint.
3. Have the money to make a change."
65,g4IDllv9KE0,"

The former job of the person who posted the video was working at McDonald's.","

The person who posted the video was previously employed at McDonald's.","

1. Wanted to move on from working at McDonald's for five years
2. Found it funny that their voice was still used for the automatic voice response
3. Wanted to be remembered forever at McDonald's"
66,raUx0ZTw1G0,"

The former job of the person who posted the video was a fryer.","

The person in the video is currently working a job on a fryer.","

1. Not getting a lunch break
2. Having to work on a fryer all day
3. Not being able to get a water cup"
67,vpLjfiiYdsU,"

The former job of the person who posted the video was a full-time job working eight hours a day.","

The current job of the person who posted the video is running their own business.","

1. Long hours at previous job
2. Desire to start own business
3. Support for small businesses"
68,1EGP4BogAcQ,"

The former job of the person who posted the video is working at McDonald's.","

The current job of the person who posted the video is working at McDonald's.","

List of Reasons for Leaving Previous Job:
1. Not receiving sign-on bonus promised
2. Being treated like a slave and paid like a volunteer
3. Managers being outright horrible"
69,O3gvWmNYFoU,"

It is not possible to determine the former job of the person who posted the video based on the transcript provided.","

The person who posted the video appears to be a professional pole dancer.","

1. Lack of job satisfaction
2. Unsatisfactory working conditions
3. Unfulfilling career prospects"
70,GddLTkXVjLk,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video appears to be unemployed. They recently left their job on Wall Street and are now ""released into the wild"".","

1. MD refused to talk to the video poster
2. Exit papers were not signed
3. Video poster was not offered higher pay by another firm"
71,XhyB6l-C9Pg,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is not specified.","

List:
1. MD refused to talk to the video poster.
2. The company refused to sign the video poster's exit papers.
3. The video poster was released into the wild."
72,wGxseyIJ-yc,"

The former job of the person who posted the video was a University student.","

The current job of the person who posted the video is a YouTuber and video producer.","

List of Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to pursue YouTube dreams
2. Feeling trapped and miserable in their life
3. Wanted to be able to do what they wanted and prove their own worth"
73,RJBbsd3sad0,"

The person who posted the video's former job was hairdresser.","

The person who posted the video is currently a hairdresser.","

1. Not enough pay
2. Unfulfilling work 
3. Unsupportive work environment"
74,svtf9Z3JAbE,"

The former job of the person who posted the video is quitting their job at about hundred soaps.","

The current job of the person who posted the video is that they recently quit their job and are now ""basically homeless"".","

Reasons for Leaving Previous Job:
1. Wanted to pursue YouTube career
2. Wanted to be acknowledged for their work
3. Wanted to be surrounded by positive energy and support from viewers"
75,3eOFYcAawVc,"

The former job of the person who posted the video was a desk job.","

The current job of the person who posted the video is teaching people how to set out on their own global Overland expeditions.","

List: 
1. Desk job wasn't making me happy
2. Wanted to live my dream
3. Wanted to get out on my own adventures"
76,P-UjLZAU3pE,"

The former job of the person who posted the video was a desk job.","

The current job of the person who posted the video is teaching people how to set out on their own global Overland expeditions.","

List of reasons why the video poster left their previous job: 
1. Unhappy with desk job
2. Wanted to pursue dream of travel
3. Wanted to inspire others to pursue their own adventures"
77,Jn_8RJnM1X8,"

The former job of the person who posted the video was a good job but it didn't involve much creativity.","

The current job of the person who posted the video is exploring videography and photography.","

Reasons Why the Video Poster Left Their Previous Job:
1. Uncertainty of future due to potential cancer diagnosis.
2. Lack of creativity in the job.
3. Desire to explore new hobbies and pursue a career in videography and photography."
78,hP7AQ_hhNTE,"

The former job of the person who posted the video is foreign, spending a lot of time in corporate environments and leading large groups and managing finances.","

The current job of the person who posted the video is helping others to take control of their own future and work towards becoming competent in the things they want to do.","

List:
1. Taking control of own future
2. Committing to necessary work
3. Joining free cash flow dealmaker Facebook Club"
79,ZA6ImIyUdtQ,"

It is not possible to determine the former job of the person who posted the video based on the transcript provided.","

The person who posted the video is likely a musician.","

1. Unsatisfactory pay 
2. Poor working conditions 
3. Lack of job security"
80,vZq9SBiJtH0,"

The former job of the person who posted the video was working in the investment industry for the past five years.","

The current job of the person who posted the video is working in the investment industry.","

Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to save money to travel the world
2. Wanted to embark on an adventure of a lifetime
3. Wanted to document his travels and connect with different cultures"
81,Ns8EP0AHJBc,"

The former job of the person who posted the video is that they worked since they graduated until now. Their last job gave them the opportunity to get their feet wet in programming and they learned a little bit of R.","

The current job of the person who posted the video is that they have been working since graduating and their last job gave them the opportunity to get their feet wet in programming.","

List of Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to work instead of pursuing graduate school
2. Had more responsibilities than when they were a student
3. Wanted to learn programming and get their feet wet in the industry"
82,XClYz4gdy8Q,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is to document their travels to Vietnam and show viewers what it's like to live in Vietnam from a local perspective.","

Reasons why the video poster left their previous job:
1. To look for business opportunities in Vietnam
2. To experience the food and culture of Vietnam
3. To show viewers what it's like to live in Vietnam from a local perspective"
83,Fqmn5o_hbys,"

The person who posted the video was a former foreign worker.","

The person who posted the video appears to be a foreign correspondent for a news organization.","

1. Unsatisfactory working conditions
2. Unfavorable foreign policies
3. Unsupportive management"
84,yV_ObtgwQUM,"

It is not possible to determine the former job of the person who posted the video based on the provided transcript.","

The person who posted the video does not appear to have a current job.","

1. Unfulfilling work 
2. Low pay 
3. Unsupportive environment"
85,jg9E4yGkKnI,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is doing YouTube full-time.","

List of Reasons for Leaving Previous Job:
1. Strange accents in the workplace
2. Embarrassing incident with flight booking
3. Pursuing YouTube full-time"
86,f4H6goY2-Dw,"

The former job of the person who posted the video was working at an electronic retail store.","

The current job of the person who posted the video is working full-time.","

List of Reasons for Leaving Previous Job:
1. Not enough time for YouTube
2. Wanted to keep extra cash in pocket
3. Wanted to prioritize YouTube over part-time job"
87,Fx9D8k2u9sU,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is to pursue YouTube full time.","

List: 
1. Did not want to work for somebody else 
2. Wanted to pursue creative endeavors 
3. Wanted to be part of a self-sufficient community"
88,yEWdkHGZylI,"

The person who posted the video had a former job as a medical assistant.","

The person who posted the video is currently a Medical Assistant.","

Reasons Why the Video Poster Left Their Previous Job:
1. Unfulfilling work environment
2. Lack of career progression 
3. Unsatisfactory salary"
89,IBcxQmPP8yw,"

The former job of the person who posted the video was web development.","

The person who posted the video is currently not looking for a full-time job and is planning to spend the next 6 months creating online courses.","

List: 
1. Feeling of constantly using existing skills to do repetitive things
2. Lost enthusiasm for current job
3. Wanted to try something new and spend more time on personal interests"
90,td4h6g8Wlhw,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is not specified.","

List of Reasons for Leaving Job:
1. Tired of fighting against own thoughts
2. Exhausted from long nights
3. Want to explore new opportunities and experiences"
91,VxdLCF5TrU4,"

The former job of the person who posted the video was working in retail at a retail store.","

The current job of the person who posted the video is that they recently quit their weekend job at a retail store.","

Reasons for Quitting Job:
1. Hectic schedule due to family issues
2. Wanted to focus on other projects
3. Had been working in the same job for 7 years"
92,5V5s-y7mZdc,"

The former job of the person who posted the video was not specified in the transcript.","

The current job of the person who posted the video is to help people who have a song in their heart to rediscover the joy of singing in a fun and encouraging community.","

List: 
1. Following their heart 
2. Avoiding being taken advantage of 
3. Pursuing a career that they love"
93,VQRcD2BtkEc,"

It is not possible to answer this question without more information about the person who posted the video.","

The current job of the person who posted the video is not specified.","

List of Reasons for Leaving Previous Job:
1. Not understanding the context of Scripture
2. Not consulting the Lord before making a decision
3. Not having a plan and not counting the cost of the decision"
94,W2yKIw_R0ts,"

The former job of the person who posted the video was a YouTuber.","

The current job of the person who posted the video is a YouTuber.","

1. Unconstructive comments from customers
2. Customers were rude and mean
3. Unpleasant working environment due to YouTube comments section"
95,aznallMUTN0,"

The former job of the person who posted the video is foreign.","

The person who posted the video is currently a mechanic and owns a service truck.","

List of Reasons for Leaving Previous Job:
1. Foreign environment 
2. Not easy working conditions 
3. Unappealing job duties"
96,jPJF8WYU0Fc,"

The former job of the person who posted the video is unclear from this transcript.","

The current job of the person who posted the video is that they have recently quit their job.","

1. Lack of job satisfaction 
2. Unfulfilling work 
3. Low wages"
97,lgCYtZ2kw5s,"

The former job of the person who posted the video is not specified in the transcript.","

The person who posted the video does not appear to have a current job.","

1. Lack of job satisfaction 
2. Unsatisfactory work environment 
3. Low pay"
98,_aNL-Djs8SM,"

The former job of the person who posted the video is a foreign director.","

The person who posted the video is a foreign director.","

Reasons for Leaving Previous Job:
1. Lack of Appreciation from Management
2. Unsatisfactory Working Conditions
3. Unfulfilling Work Environment"
99,RxNQ_rhUnug,"

The former job of the person who posted the video was a part-time job.","

The person who posted the video currently has three jobs: two full-time jobs and one part-time job.","

Reasons why the video poster left their previous job:
1. Not enough hours 
2. Wanted to pursue different career paths 
3. Wanted to give his son a better life"
100,X-WDomIeUhk,"

The former job of the person who posted the video is working in a greenhouse program growing GMO cucumbers.","

The current job of the person who posted the video is a very physically demanding job that requires a lot of driving, sometimes up to 12 hours a day.","

List: 
1. Feeling undervalued and like a number
2. Wanting to spend more time with family
3. Pursuing a career in content creation that makes them happy"
101,-nFXXqE2YRQ,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is affiliate marketing.","

List:
1. Ability to make a full-time income 
2. Being a full-time dad
3. Learning how to build freedom online"
102,3rrzLNxHp5o,"

The former job of the person who posted the video was at Ross.","

The current job of the person who posted the video is quitting their job at Ross.","

List of Reasons for Leaving Previous Job:
1. Parents Shunned Pursuit of Passions
2. Low Income Situation Caused Need to Work
3. Job Was Not Aligned with Personal Goals"
103,8MrzGvg9h34,"

The former job of the person who posted the video was working at a job for over a year.","

The current job of the person who posted the video is YouTube content creator.","

Reasons why the video poster left their previous job:
1. The job was hard and stressful.
2. The transportation to work was difficult.
3. They wanted to pursue their passion and do something for themselves."
104,9NwXTIRo2_M,"

It is not possible to determine the former job of the person who posted the video from the transcript provided.","

It is not possible to determine the current job of the person who posted the video based on the provided transcript.","

1. Unfulfilling work environment
2. Lack of recognition for efforts
3. Unclear career path"
105,_QWTOMqDwAM,"

The former job of the person who posted the video is not specified in the transcript.","

The person who posted the video is currently transitioning to a different role in a realm they are more excited about.","

Reasons why the video poster left their previous job:
1. Excited to move to a new role 
2. Wanted to transition their work to new co-workers 
3. Looking for bigger and better opportunities"
106,ZlVobYKKdHA,"

The former job of the person who posted the video is unknown.","

The person who posted the video does not appear to have a current job.","

1. Unsatisfactory working conditions 
2. Unfulfilled career goals 
3. Unappealing salary and benefits"
107,poB7-j4ZyZA,"

The former job of the person who posted the video was selling all of their possessions and quitting their job so they could travel the world.","

The current job of the person who posted the video is traveling the world.","

Reasons Why Video Poster Left Their Previous Job:
1. Wanted to travel the world
2. Sold all possessions and bought a one-way ticket
3. No plan, making it up as they go along"
108,i-LrCRF0Xhs,"

The former job of the person who posted the video is working in a greenhouse program growing GMO cucumbers.","

The current job of the person who posted the video is working on a physically demanding job that requires a lot of driving, sometimes up to 12 hours a day.","

List: 
1. Tired of giving so much of their time and energy to a place that doesn't value them. 
2. Injury while using a damaged car and feeling like they made the biggest mistake of their life. 
3. Wanting to pursue their passion and become a full-time YouTube content creator."
109,ZCObIb0RJBQ,"

The former job of the person who posted the video is emergency services.","

The current job of the person who posted the video is landscape photography.","

List of Reasons for Leaving Previous Job:
1. Wanted to pursue landscape photography
2. Wanted to escape the repetitive nature of emergency services
3. Wanted to have more freedom and flexibility in his career"
110,spqxEFX-dUg,"

The former job of the person who posted the video is not specified.","

The current job of the person who posted the video is that they have quit their job.","

1. I quit my job
2. Focus on mental health
3. Live life without regrets"
